Date,Depth,Data,QC
07-12-2009 00:00:00,1.3, NaN,N
14-12-2009 00:00:00,1.3, NaN,N
21-12-2009 00:00:00,1.3, NaN,N
04-01-2010 00:00:00,1.3, NaN,N
11-01-2010 00:00:00,1.3, NaN,N
18-01-2010 00:00:00,1.3, NaN,N
25-01-2010 00:00:00,1.3, NaN,N
01-02-2010 00:00:00,1.3, NaN,N
08-02-2010 00:00:00,1.3,23.2200,N
15-02-2010 00:00:00,1.3,24.4600,N
22-02-2010 00:00:00,1.3,23.8100,N
02-03-2010 00:00:00,1.3,25.2000,N
08-03-2010 00:00:00,1.3,22.5600,N
15-03-2010 00:00:00,1.3,24.0800,N
22-03-2010 00:00:00,1.3,23.2200,N
29-03-2010 00:00:00,1.3,21.1300,N
