Date,Depth,Data,QC
01-12-2003 00:00:00,0 - 13,1.0000,N
08-12-2003 00:00:00,0 - 13,0.7000,N
15-12-2003 00:00:00,0 - 13,1.2000,N
22-12-2003 00:00:00,0 - 13,1.4000,N
29-12-2003 00:00:00,0 - 13,4.3000,N
05-01-2004 00:00:00,0 - 13,1.6000,N
12-01-2004 00:00:00,0 - 13,0.9000,N
19-01-2004 00:00:00,0 - 13,2.9000,N
26-01-2004 00:00:00,0 - 13,1.2000,N
02-02-2004 00:00:00,0 - 13,2.9000,N
09-02-2004 00:00:00,0 - 13,1.3000,N
16-02-2004 00:00:00,0 - 13,1.3000,N
23-02-2004 00:00:00,0 - 13,1.5000,N
01-03-2004 00:00:00,0 - 13,1.9000,N
08-03-2004 00:00:00,0 - 13,1.8000,N
15-03-2004 00:00:00,0 - 13,1.2000,N
22-03-2004 00:00:00,0 - 13,1.6000,N
29-03-2004 00:00:00,0 - 13,2.9000,N
