Date,Depth,Data,QC
20-12-1984 00:00:00,0 - 13,0.0070,N
03-01-1985 00:00:00,0 - 13,0.0220,N
10-01-1985 00:00:00,0 - 13,0.0400,N
17-01-1985 00:00:00,0 - 13,0.0420,N
24-01-1985 00:00:00,0 - 13,0.0080,N
31-01-1985 00:00:00,0 - 13,0.0150,N
07-02-1985 00:00:00,0 - 13,0.0190,N
15-02-1985 00:00:00,0 - 13,0.0110,N
21-02-1985 00:00:00,0 - 13,0.0420,N
27-02-1985 00:00:00,0 - 13,0.0110,N
07-03-1985 00:00:00,0 - 13,0.0120,N
14-03-1985 00:00:00,0 - 13,0.1120,N
21-03-1985 00:00:00,0 - 13,0.0230,N
28-03-1985 00:00:00,0 - 13,0.0190,N
