Date,Depth,Data,QC
01-12-2017 00:00:00,0 - 9.9,0.0170,N
08-12-2017 00:00:00,0 - 9.9,0.0180,N
15-12-2017 00:00:00,0 - 9.9,0.0170,N
22-12-2017 00:00:00,0 - 9.9,0.0220,N
05-01-2018 00:00:00,0 - 9.9,0.0190,N
15-01-2018 00:00:00,0 - 9.9,0.0190,N
22-01-2018 00:00:00,0 - 9.9,0.0180,N
29-01-2018 00:00:00,0 - 9.9,0.0180,N
05-02-2018 00:00:00,0 - 9.9,0.0190,N
12-02-2018 00:00:00,0 - 9.9,0.0160,N
19-02-2018 00:00:00,0 - 9.9,0.0180,N
26-02-2018 00:00:00,0 - 9.9,0.0190,N
05-03-2018 00:00:00,0 - 9.9,0.0170,N
12-03-2018 00:00:00,0 - 9.9,0.0170,N
19-03-2018 00:00:00,0 - 9.9,0.0160,N
26-03-2018 00:00:00,0 - 9.9,0.0160,N
