Date,Depth,Data,QC
03-12-2018 00:00:00,0 - 10,0.2000,N
10-12-2018 00:00:00,0 - 10,0.1000,N
17-12-2018 00:00:00,0 - 10,0.2000,N
24-12-2018 00:00:00,0 - 10,0.2000,N
07-01-2019 00:00:00,0 - 10,0.2000,N
14-01-2019 00:00:00,0 - 10,0.2000,N
21-01-2019 00:00:00,0 - 10,0.1000,N
29-01-2019 00:00:00,0 - 10,0.2000,N
04-02-2019 00:00:00,0 - 10,0.3000,N
11-02-2019 00:00:00,0 - 10,0.2000,N
18-02-2019 00:00:00,0 - 10,0.4000,N
25-02-2019 00:00:00,0 - 10,0.2000,N
04-03-2019 00:00:00,0 - 10,0.2000,N
11-03-2019 00:00:00,0 - 10,0.2000,N
18-03-2019 00:00:00,0 - 10,0.3000,N
25-03-2019 00:00:00,0 - 10,0.3000,N
