Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS13_Oxygen_Surface_2020_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.250808956
Long,115.728321217
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS13
Site Description,Cockburn Sound southern deep water
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00023
Data Classification,WQ Grab
Sampling Rate (min),11424.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Oxygen (mg/L)
QC,String
