Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS12_pH_Bottom_2007_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.197797559
Long,115.765871560
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS12
Site Description,Calista Channel WC Desalination Plant
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00137
Data Classification,WQ Grab
Sampling Rate (min),11520.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,pH ()
QC,String
