Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS6_Organic_Phosphorus_Int_1990_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.146479719
Long,115.756724048
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS6
Site Description,Changed position from 1997/98 now CS6A
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00005
Data Classification,WQ Grab
Sampling Rate (min),10855.3846
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Organic Phosphorus (mg/L)
QC,String
