Date,Depth,Data,QC
04-12-2014 00:00:00,0 - 13,6.3000,N
08-12-2014 00:00:00,0 - 13,7.2000,N
15-12-2014 00:00:00,0 - 13,6.5000,N
22-12-2014 00:00:00,0 - 13,8.6000,N
05-01-2015 00:00:00,0 - 13,7.2000,N
12-01-2015 00:00:00,0 - 13,8.2000,N
19-01-2015 00:00:00,0 - 13,12.3000,N
27-01-2015 00:00:00,0 - 13,8.1000,N
02-02-2015 00:00:00,0 - 13,5.5000,N
09-02-2015 00:00:00,0 - 13,6.2000,N
16-02-2015 00:00:00,0 - 13,6.9000,N
23-02-2015 00:00:00,0 - 13,5.9000,N
02-03-2015 00:00:00,0 - 13,5.4000,N
09-03-2015 00:00:00,0 - 13,6.6000,N
16-03-2015 00:00:00,0 - 13,6.3000,N
23-03-2015 00:00:00,0 - 13,5.2000,N
