Date,Depth,Data,QC
01-12-2008 00:00:00,0 - 13.1,0.5000,N
08-12-2008 00:00:00,0 - 13.1,0.4000,N
15-12-2008 00:00:00,0 - 13.1,0.3000,N
22-12-2008 00:00:00,0 - 13.1,0.3000,N
05-01-2009 00:00:00,0 - 13.1,0.3000,N
12-01-2009 00:00:00,0 - 13.1,0.3000,N
19-01-2009 00:00:00,0 - 13.1,0.7000,N
02-02-2009 00:00:00,0 - 13.1,0.5000,N
09-02-2009 00:00:00,0 - 13.1,0.9000,N
16-02-2009 00:00:00,0 - 13.1,0.4000,N
23-02-2009 00:00:00,0 - 13.1,0.5000,N
02-03-2009 00:00:00,0 - 13.1,0.7000,N
09-03-2009 00:00:00,0 - 13.1,0.5000,N
16-03-2009 00:00:00,0 - 13.1,0.8000,N
23-03-2009 00:00:00,0 - 13.1,0.8000,N
30-03-2009 00:00:00,0 - 13.1,1.1000,N
