Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS9_Chlorophyll-a_Int_1997_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.209850521
Long,115.759565504
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS9
Site Description,Kwinana Bulk Terminal (KBB2)
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00014
Data Classification,WQ Grab
Sampling Rate (min),10848.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a (\mug/L)
QC,String
