Date,Depth,Data,QC
03-12-2007 00:00:00,0 - 19.9,0.0140,N
10-12-2007 00:00:00,0 - 19.9,0.0130,N
17-12-2007 00:00:00,0 - 19.9,0.0130,N
07-01-2008 00:00:00,0 - 19.9,0.0150,N
14-01-2008 00:00:00,0 - 19.9,0.0140,N
21-01-2008 00:00:00,0 - 19.9,0.0110,N
28-01-2008 00:00:00,0 - 19.9,0.0120,N
04-02-2008 00:00:00,0 - 19.9,0.0100,N
11-02-2008 00:00:00,0 - 19.9,0.0150,N
18-02-2008 00:00:00,0 - 19.9,0.0110,N
25-02-2008 00:00:00,0 - 19.9,0.0130,N
03-03-2008 00:00:00,0 - 19.9,0.0120,N
10-03-2008 00:00:00,0 - 19.9,0.0140,N
17-03-2008 00:00:00,0 - 19.9,0.0170,N
31-03-2008 00:00:00,0 - 19.9,0.0100,N
