Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_WSSB_fluorescence_Bottom_2015_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.308837615
Long,115.708785228
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,WSSB
Site Description,Warnbro Sound Safety Bay shallow
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00219
Data Classification,WQ Grab
Sampling Rate (min),10464.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,fluorescence (-)
QC,String
