Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS5_Filterable_Reactive_Phosphate_Int_1987_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.152366474
Long,115.720157614
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS5
Site Description,Cockburn Sound northern end deep
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00027
Data Classification,WQ Grab
Sampling Rate (min),11630.7692
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Filterable Reactive Phosphate (mg/L)
QC,String
