Date,Depth,Data,QC
03-12-2007 00:00:00,0 - 13,0.0170,N
10-12-2007 00:00:00,0 - 13,0.0130,N
17-12-2007 00:00:00,0 - 13,0.0150,N
07-01-2008 00:00:00,0 - 13,0.0130,N
14-01-2008 00:00:00,0 - 13,0.0190,N
21-01-2008 00:00:00,0 - 13,0.0140,N
28-01-2008 00:00:00,0 - 13,0.0150,N
04-02-2008 00:00:00,0 - 13,0.0100,N
11-02-2008 00:00:00,0 - 13,0.0200,N
18-02-2008 00:00:00,0 - 13,0.0180,N
25-02-2008 00:00:00,0 - 13,0.0140,N
03-03-2008 00:00:00,0 - 13,0.0140,N
10-03-2008 00:00:00,0 - 13,0.0150,N
17-03-2008 00:00:00,0 - 13,0.0150,N
31-03-2008 00:00:00,0 - 13,0.0160,N
