Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_NH3_Temperature_Bottom_2012_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.140023962
Long,115.762557981
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,NH3
Site Description,Northern Harbour Jervoise Bay
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00007
Data Classification,WQ Grab
Sampling Rate (min),10752.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Temperature (C)
QC,String
