Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_NH3_Conductivity_Bottom_2018_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.140023962
Long,115.762557981
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,NH3
Site Description,Northern Harbour Jervoise Bay
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00134
Data Classification,WQ Grab
Sampling Rate (min),11040.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Conductivity (µS/cm)
QC,String
