Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS12_fluorescence_Bottom_2014_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.197797559
Long,115.765871560
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS12
Site Description,Calista Channel WC Desalination Plant
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00219
Data Classification,WQ Grab
Sampling Rate (min),10752.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,fluorescence (-)
QC,String
