Agency_Name,Program_Name,Station_ID,Site_Description,Tag,mAHD,Lat,Lon,Label
Department of Water and Environmental Regulation,Estuary,6141432,6141432,DWER-CSMWQ,0.0000,-32.2745,115.7025,DWER: 6141432
Department of Water and Environmental Regulation,Estuary,6142828,6142828,DWER-CSMWQ,-4.0843,-32.151321,115.763847,DWER: 6142828
Department of Water and Environmental Regulation,Estuary,6142829,6142829,DWER-CSMWQ,-9.9070,-32.144304,115.761111,DWER: 6142829
Department of Water and Environmental Regulation,Estuary,6142830,6142830,DWER-CSMWQ,-5.9675,-32.140024,115.762558,DWER: 6142830
Department of Water and Environmental Regulation,Estuary,6142831,6142831,DWER-CSMWQ,-11.0334,-32.145133,115.755587,DWER: 6142831
Department of Water and Environmental Regulation,Estuary,6142832,6142832,DWER-CSMWQ,-11.0978,-32.145072,115.750286,DWER: 6142832
Department of Water and Environmental Regulation,Estuary,6142833,6142833,DWER-CSMWQ,-9.9234,-32.144985,115.739685,DWER: 6142833
Department of Water and Environmental Regulation,Estuary,6142834,6142834,DWER-CSMWQ,-11.2117,-32.150507,115.758037,DWER: 6142834
Department of Water and Environmental Regulation,Estuary,6142835,6142835,DWER-CSMWQ,-9.9097,-32.155463,115.763951,DWER: 6142835
Department of Water and Environmental Regulation,Estuary,6142836,6142836,DWER-CSMWQ,-10.0687,-32.159352,115.763103,DWER: 6142836
Department of Water and Environmental Regulation,Estuary,6142837,6142837,DWER-CSMWQ,-11.0729,-32.163896,115.762013,DWER: 6142837
Department of Water and Environmental Regulation,Estuary,6142842,6142842,DWER-CSMWQ,-10.7931,-32.153402,115.75522,DWER: 6142842
Department of Water and Environmental Regulation,Estuary,6142843,6142843,DWER-CSMWQ,-10.2783,-32.155803,115.752674,DWER: 6142843
Department of Water and Environmental Regulation,Estuary,6142970,6142970,DWER-CSMWQ,-21.3088,-32.154551,115.693841,DWER: 6142970
Department of Water and Environmental Regulation,Estuary,6142971,6142971,DWER-CSMWQ,-19.3144,-32.152366,115.720158,DWER: 6142971
Department of Water and Environmental Regulation,Estuary,6142972,6142972,DWER-CSMWQ,-10.8501,-32.14648,115.756724,DWER: 6142972
Department of Water and Environmental Regulation,Estuary,6142973,6142973,DWER-CSMWQ,-11.1732,-32.170703,115.762483,DWER: 6142973
Department of Water and Environmental Regulation,Estuary,6142974,6142974,DWER-CSMWQ,-20.3222,-32.197565,115.719833,DWER: 6142974
Department of Water and Environmental Regulation,Estuary,6142975,6142975,DWER-CSMWQ,-12.4997,-32.209851,115.759566,DWER: 6142975
Department of Water and Environmental Regulation,Estuary,6142976,6142976,DWER-CSMWQ,-16.8257,-32.238934,115.751412,DWER: 6142976
Department of Water and Environmental Regulation,Estuary,6142977,6142977,DWER-CSMWQ,-17.6492,-32.2565,115.740864,DWER: 6142977
Department of Water and Environmental Regulation,Estuary,6142978,6142978,DWER-CSMWQ,-18.1561,-32.262401,115.714178,DWER: 6142978
Department of Water and Environmental Regulation,Estuary,6142979,6142979,DWER-CSMWQ,-7.9017,-32.254165,115.684285,DWER: 6142979
Department of Water and Environmental Regulation,Estuary,6142980,6142980,DWER-CSMWQ,-12.0351,-32.229518,115.697969,DWER: 6142980
Department of Water and Environmental Regulation,Estuary,6142981,6142981,DWER-CSMWQ,-6.1499,-32.198595,115.684831,DWER: 6142981
Department of Water and Environmental Regulation,Estuary,6142982,6142982,DWER-CSMWQ,-9.9554,-32.157758,115.68212,DWER: 6142982
Department of Water and Environmental Regulation,Estuary,6142983,6142983,DWER-CSMWQ,-3.2126,-32.248232,115.712531,DWER: 6142983
Department of Water and Environmental Regulation,Estuary,6142984,6142984,DWER-CSMWQ,-10.2600,-32.182803,115.73909,DWER: 6142984
Department of Water and Environmental Regulation,Estuary,6142985,6142985,DWER-CSMWQ,-2.9904,-32.308838,115.708785,DWER: 6142985
Department of Water and Environmental Regulation,Estuary,6142986,6142986,DWER-CSMWQ,-17.2342,-32.336946,115.722167,DWER: 6142986
Department of Water and Environmental Regulation,Estuary,6142987,6142987,DWER-CSMWQ,-18.2605,-32.254698,115.740167,DWER: 6142987
Department of Water and Environmental Regulation,Estuary,6142988,6142988,DWER-CSMWQ,-7.7071,-32.215297,115.696612,DWER: 6142988
Department of Water and Environmental Regulation,Estuary,6142989,6142989,DWER-CSMWQ,-6.1499,-32.198595,115.684831,DWER: 6142989
Department of Water and Environmental Regulation,Estuary,6142990,6142990,DWER-CSMWQ,-8.9561,-32.139401,115.652974,DWER: 6142990
Department of Water and Environmental Regulation,Estuary,6144401,6144401,DWER-CSMWQ,-19.1526,-32.250809,115.728321,DWER: 6144401
Department of Water and Environmental Regulation,Estuary,6144466,6144466,DWER-CSMWQ,-10.4978,-32.197784,115.765882,DWER: 6144466
Department of Water and Environmental Regulation,Estuary,6147030,6147030,DWER-CSMWQ,-22.2603,-32.156587,115.70274,DWER: 6147030
Department of Water and Environmental Regulation,Estuary,6147031,6147031,DWER-CSMWQ,-19.1526,-32.250787,115.728332,DWER: 6147031
Department of Water and Environmental Regulation,Estuary,6147034,6147034,DWER-CSMWQ,-18.1561,-32.262388,115.714189,DWER: 6147034
Department of Water and Environmental Regulation,Estuary,6147035,6147035,DWER-CSMWQ,-16.6408,-32.200106,115.740665,DWER: 6147035
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CB,Challenger Beach bank,CSMC-WQ,-10.2600,-32.182802691,115.739089661,CSMC: CB
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CS10,Changed position from 2004/05 now CS1ON,CSMC-WQ,-17.6492,-32.256500246,115.740863764,CSMC: CS10
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CS10N,Bulk Grain Terminal (CBH)(replaced CS10),CSMC-WQ,-12.0181,-32.255330528,115.742971151,CSMC: CS10N
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CS10S,Bulk Grain Terminal (CBH)(replaced CS10),CSMC-WQ,-12.0181,-32.255330528,115.742971151,CSMC: CS10S
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CS11,Mangles Bay deep water basin,CSMC-WQ,-18.1561,-32.262401413,115.71417802,CSMC: CS11
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CS11S,Mangles Bay deep water basin,CSMC-WQ,-18.1561,-32.262401413,115.71417802,CSMC: CS11S
Cockburn Sound Management Council,Cockburn Sound Marine Water Quality Monitoring,CS12,Calista Channel WC Desalination Plant,CSMC-WQ,-10.4978,-32.197797559,115.76587156,CSMC: CS12
