Date,Depth,Data,QC
21-05-2012 09:47:31,0.179,3.900000,Good
21-05-2012 09:48:34,0.586,4.200000,Good
21-05-2012 09:49:34,1.097,4.600000,Good
21-05-2012 09:50:08,1.503,5.700000,Good
21-05-2012 09:50:32,1.995,6.400000,Good
21-05-2012 09:51:14,2.522,6.800000,Good
21-05-2012 09:51:46,3.009,6.800000,Good
21-05-2012 09:52:19,3.462,6.700000,Good
21-05-2012 09:53:37,3.777,6.800000,Good
24-05-2012 12:01:52,0.192,4.700000,Good
24-05-2012 12:02:44,0.454,5.000000,Good
24-05-2012 12:03:24,1.046,6.600000,Good
24-05-2012 12:03:55,1.534,7.100000,Good
24-05-2012 12:04:23,2.028,7.200000,Good
24-05-2012 12:04:58,2.533,7.300000,Good
24-05-2012 12:05:34,3.014,9.600000,Good
24-05-2012 12:06:07,3.344,7.800000,Good
28-05-2012 10:08:37,0.213,8.000000,Good
28-05-2012 10:08:58,0.53,8.100000,Good
28-05-2012 10:09:34,1.015,8.100000,Good
28-05-2012 10:09:52,1.528,7.000000,Good
28-05-2012 10:10:20,1.968,6.100000,Good
28-05-2012 10:10:52,2.501,6.500000,Good
28-05-2012 10:11:14,2.953,6.100000,Good
28-05-2012 10:11:45,3.441,11.700000,Good
28-05-2012 10:12:06,3.544,6.800000,Good
31-05-2012 10:42:40,0.209,5.400000,Good
31-05-2012 10:44:15,0.505,14.600000,Good
31-05-2012 10:45:28,1.008,3.400000,Good
31-05-2012 10:46:01,1.503,3.200000,Good
31-05-2012 10:46:47,2.004,3.000000,Good
31-05-2012 10:47:23,2.501,3.000000,Good
31-05-2012 10:48:12,3.001,2.900000,Good
31-05-2012 10:48:50,3.503,2.900000,Good
05-06-2012 09:57:52,0.223,8.600000,Good
05-06-2012 09:58:50,0.535,8.000000,Good
05-06-2012 10:00:13,1.02,4.700000,Good
05-06-2012 10:01:06,1.576,4.600000,Good
05-06-2012 10:01:57,2.088,4.500000,Good
05-06-2012 10:03:14,2.532,4.500000,Good
05-06-2012 10:03:50,3.016,4.400000,Good
05-06-2012 10:04:22,3.584,4.400000,Good
05-06-2012 10:05:08,3.692,5.500000,Good
08-06-2012 12:21:14,0.207,7.500000,Good
08-06-2012 12:21:40,0.495,6.600000,Good
08-06-2012 12:22:39,1.003,4.900000,Good
08-06-2012 12:23:20,1.497,4.000000,Good
08-06-2012 12:24:14,2.008,3.900000,Good
08-06-2012 12:24:52,2.492,4.000000,Good
08-06-2012 12:25:17,3.028,4.100000,Good
08-06-2012 12:25:45,3.509,4.100000,Good
08-06-2012 12:26:47,4.029,7.100000,Good
11-06-2012 10:17:37,0.233,10.300000,Good
11-06-2012 10:18:45,0.557,6.100000,Good
11-06-2012 10:19:15,1.032,5.900000,Good
11-06-2012 10:19:57,1.504,5.500000,Good
11-06-2012 10:20:36,2.037,5.300000,Good
11-06-2012 10:21:03,2.528,5.400000,Good
11-06-2012 10:21:37,3.039,5.500000,Good
11-06-2012 10:23:13,3.551,5.600000,Good
11-06-2012 10:23:36,4.034,5.600000,Good
11-06-2012 10:24:03,4.168,6.700000,Good
18-06-2012 10:14:50,0.202,4.500000,Good
18-06-2012 10:15:49,0.52,4.100000,Good
18-06-2012 10:16:56,1.007,4.100000,Good
18-06-2012 10:18:14,1.506,4.000000,Good
18-06-2012 10:18:52,2.007,4.100000,Good
18-06-2012 10:19:42,2.495,4.300000,Good
18-06-2012 10:20:13,3.041,5.100000,Good
18-06-2012 10:21:07,3.103,5.300000,Good
18-06-2012 10:21:32,3.43,5.800000,Good
06-08-2012 10:32:33,0.212,6.500000,Good
06-08-2012 10:33:11,0.518,6.400000,Good
06-08-2012 10:34:20,1.002,6.800000,Good
06-08-2012 10:35:02,1.504,6.700000,Good
06-08-2012 10:35:29,2.017,8.100000,Good
06-08-2012 10:36:05,2.513,8.200000,Good
06-08-2012 10:37:58,2.81,8.600000,Good
04-02-2013 09:38:40,0.201,8.600000,Good
04-02-2013 09:39:39,0.52,8.200000,Good
04-02-2013 09:40:00,1.024,9.000000,Good
04-02-2013 09:40:23,1.489,9.300000,Good
04-02-2013 09:41:03,2.04,9.000000,Good
04-02-2013 09:41:31,2.528,9.100000,Good
04-02-2013 09:42:42,3.039,9.500000,Good
18-02-2013 09:35:09,0.231,5.600000,Good
18-02-2013 09:35:48,0.534,6.000000,Good
18-02-2013 09:36:07,1.04,5.900000,Good
18-02-2013 09:36:26,1.504,5.600000,Good
18-02-2013 09:36:43,2.017,6.000000,Good
18-02-2013 09:36:58,2.52,6.900000,Good
18-02-2013 09:37:55,2.709,8.500000,Good
18-02-2013 09:38:21,3.001,7.900000,Good
25-02-2013 10:01:35,0.239,8.700000,Good
25-02-2013 10:03:21,0.559,8.800000,Good
25-02-2013 10:04:13,1.028,9.200000,Good
25-02-2013 10:05:08,1.534,11.000000,Good
25-02-2013 10:06:12,2.042,10.400000,Good
25-02-2013 10:06:56,2.544,10.500000,Good
25-02-2013 10:08:21,2.9,14.100000,Good
05-03-2013 09:27:31,0.211,7.600000,Good
05-03-2013 09:27:49,0.528,7.500000,Good
05-03-2013 09:28:10,1.012,7.700000,Good
05-03-2013 09:28:28,1.504,8.400000,Good
05-03-2013 09:28:50,2.025,8.700000,Good
05-03-2013 09:29:07,2.522,8.700000,Good
05-03-2013 09:29:27,3.022,10.300000,Good
05-03-2013 09:31:21,3.204,12.800000,Good
11-03-2013 10:23:15,0.201,5.200000,Good
11-03-2013 10:23:59,0.512,5.300000,Good
11-03-2013 10:27:18,1.009,5.800000,Good
11-03-2013 10:27:53,1.505,6.000000,Good
11-03-2013 10:28:33,2.008,6.400000,Good
11-03-2013 10:29:37,2.515,6.900000,Good
11-03-2013 10:30:03,3.002,7.100000,Good
11-03-2013 10:30:36,3.427,7.700000,Good
18-03-2013 09:42:58,0.21,7.600000,Good
18-03-2013 09:44:02,0.482,7.700000,Good
18-03-2013 09:45:52,0.988,7.800000,Good
18-03-2013 09:47:06,1.514,8.100000,Good
18-03-2013 09:48:33,1.968,8.300000,Good
18-03-2013 09:50:02,2.483,9.300000,Good
18-03-2013 09:51:38,3.017,10.000000,Good
25-03-2013 09:58:04,0.2,9.900000,Good
25-03-2013 09:59:44,0.497,10.100000,Good
25-03-2013 10:00:52,1.012,10.100000,Good
25-03-2013 10:01:34,1.487,11.000000,Good
25-03-2013 10:02:40,1.999,10.400000,Good
25-03-2013 10:03:19,2.528,10.800000,Good
25-03-2013 10:04:25,2.991,11.600000,Good
02-04-2013 09:53:45,0.192,6.500000,Good
02-04-2013 09:54:41,0.502,6.200000,Good
02-04-2013 09:55:48,1.004,6.600000,Good
02-04-2013 09:57:23,1.518,7.500000,Good
02-04-2013 09:58:48,2.016,8.100000,Good
02-04-2013 10:00:40,2.517,8.000000,Good
02-04-2013 10:01:15,3.023,8.200000,Good
02-04-2013 10:02:07,3.213,9.000000,Good
08-04-2013 09:29:12,0.243,6.600000,Good
08-04-2013 09:30:05,0.535,6.500000,Good
08-04-2013 09:30:32,1.087,6.200000,Good
08-04-2013 09:31:24,1.541,6.200000,Good
08-04-2013 09:32:00,2.026,6.400000,Good
08-04-2013 09:33:08,2.515,7.000000,Good
08-04-2013 09:33:37,3.065,7.200000,Good
08-04-2013 09:34:27,3.298,9.000000,Good
15-04-2013 09:21:20,0.204,5.300000,Good
15-04-2013 09:21:54,0.5,5.400000,Good
15-04-2013 09:22:16,1.022,5.800000,Good
15-04-2013 09:22:39,1.504,6.400000,Good
15-04-2013 09:23:03,2.006,7.300000,Good
15-04-2013 09:24:45,2.205,7.600000,Good
15-04-2013 09:25:05,2.521,8.000000,Good
22-04-2013 09:51:53,0.241,5.600000,Good
22-04-2013 09:52:23,0.52,5.500000,Good
22-04-2013 09:53:11,1.096,6.000000,Good
22-04-2013 09:53:43,1.577,6.900000,Good
22-04-2013 09:54:19,2.029,7.900000,Good
22-04-2013 09:55:19,2.543,8.800000,Good
22-04-2013 09:55:41,3.059,10.600000,Good
22-04-2013 09:56:01,3.523,11.000000,Good
22-04-2013 09:57:07,3.661,15.400000,Good
29-04-2013 09:51:15,0.203,3.000000,Good
29-04-2013 09:51:57,0.494,3.000000,Good
29-04-2013 09:52:32,1.037,3.500000,Good
29-04-2013 09:53:01,1.5,5.000000,Good
29-04-2013 09:53:50,2.02,5.000000,Good
29-04-2013 09:54:22,2.505,5.300000,Good
29-04-2013 09:54:52,3.007,5.800000,Good
29-04-2013 09:55:31,3.1,6.500000,Good
29-04-2013 09:56:01,2.805,6.500000,Good
06-05-2013 09:37:16,0.224,2.100000,Good
06-05-2013 09:38:29,0.555,2.100000,Good
06-05-2013 09:39:01,1.033,2.500000,Good
06-05-2013 09:39:45,1.565,3.500000,Good
06-05-2013 09:40:17,2.023,4.300000,Good
06-05-2013 09:40:57,2.532,5.600000,Good
06-05-2013 09:41:22,3.076,6.300000,Good
06-05-2013 09:41:46,3.568,7.600000,Good
13-05-2013 09:32:00,0.249,1.800000,Good
13-05-2013 09:32:32,0.52,1.900000,Good
13-05-2013 09:32:52,1.01,2.100000,Good
13-05-2013 09:33:18,1.501,2.800000,Good
13-05-2013 09:33:43,2.026,3.000000,Good
13-05-2013 09:34:02,2.504,3.300000,Good
13-05-2013 09:35:30,2.733,4.300000,Good
13-05-2013 09:35:47,3.015,3.600000,Good
20-05-2013 09:42:47,0.206,1.200000,Good
20-05-2013 09:43:54,0.5,1.500000,Good
20-05-2013 09:44:35,1.026,2.600000,Good
20-05-2013 09:45:24,1.508,3.300000,Good
20-05-2013 09:45:52,1.999,4.200000,Good
20-05-2013 09:46:26,2.491,5.900000,Good
20-05-2013 09:47:03,2.978,7.100000,Good
20-05-2013 09:48:54,3.534,16.100000,Good
27-05-2013 09:29:47,0.209,52.500000,Good
27-05-2013 09:30:26,0.506,39.100000,Good
27-05-2013 09:31:00,1.009,32.700000,Good
27-05-2013 09:31:35,1.498,27.000000,Good
27-05-2013 09:32:11,2.022,23.300000,Good
27-05-2013 09:32:32,2.505,19.600000,Good
27-05-2013 09:33:08,3.006,5.000000,Good
27-05-2013 09:33:46,3.501,4.300000,Good
27-05-2013 09:34:20,3.792,7.700000,Good
10-06-2013 09:23:18,0.199,1.500000,Good
10-06-2013 09:24:01,0.492,1.600000,Good
10-06-2013 09:24:48,1.015,1.600000,Good
10-06-2013 09:25:18,1.505,1.700000,Good
10-06-2013 09:25:49,2.003,1.500000,Good
10-06-2013 09:26:24,2.5,1.900000,Good
10-06-2013 09:27:13,3.009,2.000000,Good
10-06-2013 09:28:14,3.504,13.900000,Good
10-06-2013 09:28:41,3.698,6.600000,Good
17-06-2013 09:51:26,0.215,5.700000,Good
17-06-2013 09:52:03,0.51,5.700000,Good
17-06-2013 09:53:36,1.083,5.500000,Good
17-06-2013 09:54:05,1.504,5.300000,Good
17-06-2013 09:54:35,2.019,5.200000,Good
17-06-2013 09:55:07,2.525,5.400000,Good
17-06-2013 09:55:45,3.012,5.500000,Good
17-06-2013 09:56:14,3.217,5.600000,Good
24-06-2013 09:19:44,0.211,5.400000,Good
24-06-2013 09:20:16,0.511,5.500000,Good
24-06-2013 09:20:44,1.027,5.500000,Good
24-06-2013 09:21:43,1.506,5.400000,Good
24-06-2013 09:22:06,1.99,5.300000,Good
24-06-2013 09:22:29,2.502,5.300000,Good
24-06-2013 09:22:46,2.999,5.400000,Good
24-06-2013 09:23:05,3.51,5.500000,Good
24-06-2013 09:23:29,3.813,10.300000,Good
01-07-2013 09:54:09,0.198,2.900000,Good
01-07-2013 09:55:02,0.517,2.900000,Good
01-07-2013 09:56:09,1.055,3.000000,Good
01-07-2013 09:57:26,1.563,2.500000,Good
01-07-2013 09:58:04,2.031,2.400000,Good
01-07-2013 09:58:53,2.567,2.400000,Good
01-07-2013 09:59:23,3.067,2.200000,Good
01-07-2013 09:59:57,3.23,2.600000,Good
08-07-2013 09:16:17,0.195,3.500000,Good
08-07-2013 09:17:02,0.502,3.400000,Good
08-07-2013 09:18:05,1.006,3.700000,Good
08-07-2013 09:18:33,1.5,3.800000,Good
08-07-2013 09:19:00,2.001,3.800000,Good
08-07-2013 09:19:39,2.497,4.100000,Good
08-07-2013 09:20:49,3.012,4.000000,Good
08-07-2013 09:22:02,3.215,7.200000,Good
08-07-2013 09:22:19,3.505,6.300000,Good
15-07-2013 09:33:59,0.214,2.600000,Good
15-07-2013 09:35:39,0.506,2.600000,Good
15-07-2013 09:37:07,1.034,2.600000,Good
15-07-2013 09:38:06,1.498,2.400000,Good
15-07-2013 09:38:55,2.015,2.400000,Good
15-07-2013 09:39:38,2.535,2.800000,Good
15-07-2013 09:40:14,2.998,3.300000,Good
15-07-2013 09:41:47,3.505,4.600000,Good
22-07-2013 09:44:16,0.232,5.300000,Good
22-07-2013 09:44:42,0.508,5.000000,Good
22-07-2013 09:45:33,1.005,5.000000,Good
22-07-2013 09:45:54,1.52,5.100000,Good
22-07-2013 09:46:25,2.014,5.100000,Good
22-07-2013 09:47:06,2.511,5.400000,Good
22-07-2013 09:47:27,3.023,5.400000,Good
22-07-2013 09:48:07,3.329,5.700000,Good
29-07-2013 10:03:02,0.209,17.800000,Good
29-07-2013 10:03:46,0.524,16.900000,Good
29-07-2013 10:04:24,1.011,16.600000,Good
29-07-2013 10:04:46,1.51,17.400000,Good
29-07-2013 10:05:04,2.026,17.700000,Good
29-07-2013 10:05:31,2.511,17.400000,Good
29-07-2013 10:06:17,2.81,17.400000,Good
29-07-2013 10:06:57,3.1,17.600000,Good
05-08-2013 09:59:50,0.223,4.600000,Good
05-08-2013 10:00:41,0.528,4.700000,Good
05-08-2013 10:01:26,1.016,5.600000,Good
05-08-2013 10:02:02,1.508,5.400000,Good
05-08-2013 10:02:35,2.006,5.300000,Good
05-08-2013 10:03:12,2.509,5.500000,Good
05-08-2013 10:03:48,3.038,5.600000,Good
05-08-2013 10:04:37,3.508,5.500000,Good
05-08-2013 10:05:18,4,10.600000,Good
12-08-2013 09:40:28,0.249,31.400000,Good
12-08-2013 09:40:52,0.528,30.600000,Good
12-08-2013 09:41:05,1.021,30.400000,Good
12-08-2013 09:41:23,1.536,32.700000,Good
12-08-2013 09:41:42,2.001,32.300000,Good
12-08-2013 09:42:17,2.556,32.300000,Good
12-08-2013 09:42:44,3.049,33.200000,Good
12-08-2013 09:43:17,3.555,32.700000,Good
19-08-2013 09:55:34,0.206,8.600000,Good
19-08-2013 09:56:29,0.504,6.300000,Good
19-08-2013 09:57:24,0.995,6.300000,Good
19-08-2013 09:58:05,1.502,6.200000,Good
19-08-2013 09:59:10,2.009,6.600000,Good
19-08-2013 09:59:54,2.508,6.300000,Good
19-08-2013 10:00:35,3.005,6.400000,Good
19-08-2013 10:01:59,3.411,6.600000,Good
19-08-2013 10:02:52,3.101,6.700000,Good
26-08-2013 10:08:04,0.205,5.200000,Good
26-08-2013 10:08:54,0.535,4.800000,Good
26-08-2013 10:09:22,1.014,4.900000,Good
26-08-2013 10:09:53,1.543,5.500000,Good
26-08-2013 10:10:16,2.069,6.400000,Good
26-08-2013 10:12:12,2.534,7.300000,Good
26-08-2013 10:16:07,3.032,5.900000,Good
26-08-2013 10:16:38,3.344,6.700000,Good
02-09-2013 09:40:59,0.201,11.400000,Good
02-09-2013 09:41:44,0.505,11.400000,Good
02-09-2013 09:42:37,1.016,11.200000,Good
02-09-2013 09:43:17,1.533,11.100000,Good
02-09-2013 09:44:09,2.002,11.000000,Good
02-09-2013 09:44:42,2.523,11.400000,Good
02-09-2013 09:46:05,3.026,11.600000,Good
02-09-2013 09:47:18,3.522,11.800000,Good
09-09-2013 09:57:07,0.207,11.400000,Good
09-09-2013 09:58:13,0.5,11.200000,Good
09-09-2013 09:59:51,1,11.200000,Good
09-09-2013 10:00:40,1.508,11.300000,Good
09-09-2013 10:01:28,2.017,11.600000,Good
09-09-2013 10:02:22,2.513,11.200000,Good
09-09-2013 10:03:35,2.978,12.000000,Good
16-09-2013 09:39:02,0.199,39.900000,Good
16-09-2013 09:39:52,0.503,40.600000,Good
16-09-2013 09:41:02,1.033,40.500000,Good
16-09-2013 09:41:58,1.531,40.100000,Good
16-09-2013 09:42:36,1.988,40.100000,Good
16-09-2013 09:42:53,2.509,39.900000,Good
16-09-2013 09:44:05,3.027,40.400000,Good
16-09-2013 09:45:05,3.529,40.500000,Good
16-09-2013 09:45:43,3.791,40.700000,Good
23-09-2013 10:05:49,0.194,17.700000,Good
23-09-2013 10:07:43,0.559,17.500000,Good
23-09-2013 10:08:19,1.108,17.500000,Good
23-09-2013 10:08:42,1.541,17.900000,Good
23-09-2013 10:09:05,2.06,17.900000,Good
23-09-2013 10:09:34,2.493,17.700000,Good
23-09-2013 10:10:03,3.103,17.900000,Good
01-10-2013 09:37:06,0.207,11.400000,Good
01-10-2013 09:38:04,0.553,11.600000,Good
01-10-2013 09:38:40,1.037,11.900000,Good
01-10-2013 09:39:57,1.524,12.000000,Good
01-10-2013 09:40:48,2.023,11.700000,Good
01-10-2013 09:41:23,2.501,11.800000,Good
01-10-2013 09:42:21,3.058,12.300000,Good
07-10-2013 09:36:13,0.225,10.700000,Good
07-10-2013 09:37:06,0.526,10.600000,Good
07-10-2013 09:38:10,1.039,10.900000,Good
07-10-2013 09:39:43,1.51,10.800000,Good
07-10-2013 09:41:05,2.019,11.100000,Good
07-10-2013 09:41:37,2.555,11.600000,Good
14-10-2013 10:01:29,0.182,2.000000,Good
14-10-2013 10:03:03,0.465,2.100000,Good
14-10-2013 10:03:28,1.032,2.300000,Good
14-10-2013 10:03:59,1.546,2.800000,Good
14-10-2013 10:04:20,2.033,2.600000,Good
14-10-2013 10:04:45,2.534,3.000000,Good
21-10-2013 09:52:55,0.211,2.400000,Good
21-10-2013 09:53:28,0.511,2.300000,Good
21-10-2013 09:53:50,1.019,2.500000,Good
21-10-2013 09:54:09,1.504,2.900000,Good
21-10-2013 09:54:32,2.017,3.000000,Good
21-10-2013 09:54:48,2.527,3.000000,Good
21-10-2013 09:55:42,3.027,3.300000,Good
21-10-2013 09:56:22,3.312,5.100000,Good
28-10-2013 09:53:23,0.206,6.400000,Good
28-10-2013 09:54:03,0.509,7.100000,Good
28-10-2013 09:54:40,1.014,7.200000,Good
28-10-2013 09:55:27,1.515,8.500000,Good
28-10-2013 09:56:16,1.999,8.800000,Good
28-10-2013 09:57:11,2.509,9.800000,Good
04-11-2013 09:56:07,0.201,10.300000,Good
04-11-2013 09:57:06,0.508,10.200000,Good
04-11-2013 09:57:57,1.024,10.100000,Good
04-11-2013 09:58:45,1.523,10.400000,Good
04-11-2013 09:59:12,2.013,11.700000,Good
04-11-2013 09:59:58,2.15,10.800000,Good
11-11-2013 09:58:58,0.207,8.900000,Good
11-11-2013 09:59:37,0.52,9.300000,Good
11-11-2013 10:00:47,1.011,9.600000,Good
11-11-2013 10:01:17,1.503,10.300000,Good
11-11-2013 10:01:58,2.012,10.600000,Good
11-11-2013 10:02:34,2.507,11.200000,Good
11-11-2013 10:03:19,3.002,12.500000,Good
11-11-2013 10:04:21,3.408,13.000000,Good
18-11-2013 09:49:25,0.206,12.400000,Good
18-11-2013 09:50:50,0.522,12.100000,Good
18-11-2013 09:51:32,1.011,11.700000,Good
18-11-2013 09:52:44,1.532,11.900000,Good
18-11-2013 09:53:13,2.009,12.500000,Good
18-11-2013 09:55:39,2.505,12.000000,Good
18-11-2013 09:56:22,3.004,11.600000,Good
25-11-2013 09:55:11,0.245,9.200000,Good
25-11-2013 09:56:21,0.542,9.000000,Good
25-11-2013 09:56:59,1.02,9.200000,Good
25-11-2013 09:57:55,1.526,11.000000,Good
25-11-2013 09:58:22,2.035,11.700000,Good
25-11-2013 09:58:50,2.531,12.000000,Good
25-11-2013 10:00:03,2.79,14.000000,Good
02-12-2013 09:51:59,0.253,9.600000,Good
02-12-2013 09:53:02,0.529,10.700000,Good
02-12-2013 09:53:39,1.014,11.900000,Good
02-12-2013 09:54:29,1.526,11.500000,Good
02-12-2013 09:55:02,2.022,11.800000,Good
02-12-2013 09:57:38,2.214,13.500000,Good
09-12-2013 10:08:40,0.225,11.100000,Good
09-12-2013 10:10:21,0.515,11.600000,Good
09-12-2013 10:11:02,1.085,12.500000,Good
09-12-2013 10:11:34,1.533,12.900000,Good
09-12-2013 10:12:17,2.074,13.200000,Good
09-12-2013 10:12:57,2.51,12.700000,Good
23-12-2013 09:08:46,0.209,4.900000,Good
23-12-2013 09:09:19,0.514,4.900000,Good
23-12-2013 09:09:40,1.017,5.700000,Good
23-12-2013 09:10:20,1.518,6.300000,Good
23-12-2013 09:10:51,2.012,6.600000,Good
30-12-2013 09:51:38,0.213,2.900000,Good
30-12-2013 09:52:03,0.534,3.200000,Good
30-12-2013 09:52:38,1.005,3.000000,Good
30-12-2013 09:52:53,1.509,3.500000,Good
30-12-2013 09:53:39,2.032,4.400000,Good
30-12-2013 09:54:56,2.21,5.200000,Good
30-12-2013 09:55:10,2.546,6.000000,Good
06-01-2014 10:18:45,0.231,2.000000,Good
06-01-2014 10:19:58,0.52,2.300000,Good
06-01-2014 10:20:30,1.023,2.300000,Good
06-01-2014 10:20:51,1.514,2.300000,Good
06-01-2014 10:21:12,2.09,3.100000,Good
06-01-2014 10:22:08,2.553,4.500000,Good
06-01-2014 10:23:27,2.835,4.200000,Good
13-01-2014 09:30:53,0.208,2.100000,Good
13-01-2014 09:31:16,0.508,2.100000,Good
13-01-2014 09:31:54,1.006,2.300000,Good
13-01-2014 09:32:15,1.502,2.200000,Good
13-01-2014 09:33:07,1.709,1.800000,Good
13-01-2014 09:33:26,2.024,2.000000,Good
20-01-2014 09:46:40,0.235,1.700000,Good
20-01-2014 09:47:16,0.554,1.500000,Good
20-01-2014 09:47:49,1.061,2.600000,Good
20-01-2014 09:48:25,1.527,1.600000,Good
20-01-2014 09:49:13,1.661,1.000000,Good
28-01-2014 09:38:12,0.221,9.000000,Good
28-01-2014 09:38:41,0.513,8.200000,Good
28-01-2014 09:39:31,1.013,9.700000,Good
28-01-2014 09:39:45,1.501,10.100000,Good
28-01-2014 09:40:00,1.81,11.400000,Good
03-02-2014 09:08:12,0.234,5.400000,Good
03-02-2014 09:08:44,0.508,4.800000,Good
03-02-2014 09:09:44,1.045,4.600000,Good
03-02-2014 09:10:05,1.507,5.900000,Good
03-02-2014 09:10:21,2.026,6.400000,Good
10-02-2014 09:42:34,0.226,4.400000,Good
10-02-2014 09:43:05,0.52,3.900000,Good
10-02-2014 09:44:41,1.009,4.600000,Good
10-02-2014 09:45:30,1.407,6.300000,Good
10-02-2014 09:46:33,1.718,7.200000,Good
17-02-2014 09:31:41,0.197,3.600000,Good
17-02-2014 09:32:11,0.502,4.400000,Good
17-02-2014 09:32:34,1.01,4.800000,Good
17-02-2014 09:32:57,1.524,6.700000,Good
17-02-2014 09:33:29,2.029,7.700000,Good
17-02-2014 09:34:25,2.23,8.400000,Good
17-02-2014 09:34:48,2.514,9.500000,Good
24-02-2014 09:42:19,0.219,4.000000,Good
24-02-2014 09:43:03,0.533,4.000000,Good
24-02-2014 09:44:04,0.999,4.800000,Good
24-02-2014 09:44:56,1.519,6.200000,Good
24-02-2014 09:46:11,1.903,5.900000,Good
04-03-2014 09:39:06,0.204,4.700000,Good
04-03-2014 09:39:39,0.527,4.700000,Good
04-03-2014 09:40:10,1.003,4.900000,Good
04-03-2014 09:40:58,1.518,5.400000,Good
04-03-2014 09:41:29,2.01,10.500000,Good
04-03-2014 09:41:50,2.202,10.100000,Good
04-03-2014 09:42:40,2.401,10.900000,Good
17-03-2014 09:47:21,0.206,16.600000,Good
17-03-2014 09:48:09,0.52,13.800000,Good
17-03-2014 09:49:16,1.01,12.600000,Good
17-03-2014 09:50:04,1.617,13.000000,Good
17-03-2014 09:51:01,1.947,12.900000,Good
24-03-2014 09:36:56,0.211,4.100000,Good
24-03-2014 09:37:41,0.513,4.700000,Good
24-03-2014 09:38:24,1.013,4.600000,Good
24-03-2014 09:38:53,1.505,5.000000,Good
24-03-2014 09:39:28,2.013,6.900000,Good
24-03-2014 09:40:19,2.309,9.600000,Good
24-03-2014 09:40:54,2.6,9.800000,Good
31-03-2014 10:04:28,0.22,6.500000,Good
31-03-2014 10:04:54,0.507,6.800000,Good
31-03-2014 10:05:32,1,7.200000,Good
31-03-2014 10:06:05,1.505,7.800000,Good
31-03-2014 10:06:39,2.032,8.400000,Good
31-03-2014 10:07:09,2.513,9.200000,Good
31-03-2014 10:07:56,2.813,12.500000,Good
31-03-2014 10:08:50,3.111,9.600000,Good
07-04-2014 10:02:12,0.219,30.500000,Good
07-04-2014 10:02:58,0.571,7.600000,Good
07-04-2014 10:04:03,1.003,6.600000,Good
07-04-2014 10:04:58,1.531,8.300000,Good
07-04-2014 10:05:45,2.067,9.400000,Good
07-04-2014 10:07:25,2.262,13.600000,Good
14-04-2014 09:51:52,0.235,6.200000,Good
14-04-2014 09:52:45,0.525,6.200000,Good
14-04-2014 09:53:21,1.031,6.200000,Good
14-04-2014 09:54:01,1.529,6.600000,Good
14-04-2014 09:54:52,2,7.500000,Good
14-04-2014 09:55:24,2.511,8.000000,Good
14-04-2014 09:56:18,2.92,9.600000,Good
23-04-2014 09:40:49,0.219,4.900000,Good
23-04-2014 09:41:32,0.526,5.400000,Good
23-04-2014 09:42:24,1.035,6.200000,Good
23-04-2014 09:43:23,1.534,6.700000,Good
23-04-2014 09:44:11,2.037,6.900000,Good
23-04-2014 09:47:10,2.435,6.500000,Good
29-04-2014 09:38:04,0.226,5.600000,Good
29-04-2014 09:39:06,0.532,5.400000,Good
29-04-2014 09:39:43,1.012,5.500000,Good
29-04-2014 09:40:24,1.51,5.700000,Good
29-04-2014 09:40:53,2.032,5.800000,Good
29-04-2014 09:41:51,2.262,5.800000,Good
05-05-2014 09:36:42,0.211,5.900000,Good
05-05-2014 09:37:37,0.527,5.900000,Good
05-05-2014 09:39:24,1.062,6.400000,Good
05-05-2014 09:40:07,1.549,7.000000,Good
05-05-2014 09:41:34,2.002,7.500000,Good
05-05-2014 09:42:12,2.519,8.100000,Good
05-05-2014 09:45:42,2.719,8.600000,Good
12-05-2014 09:46:09,0.219,8.600000,Good
12-05-2014 09:46:54,0.518,8.100000,Good
12-05-2014 09:47:39,1.031,7.700000,Good
12-05-2014 09:48:51,1.5,5.400000,Good
12-05-2014 09:49:22,2.031,5.500000,Good
12-05-2014 09:50:21,2.497,6.800000,Good
12-05-2014 09:50:52,2.693,6.100000,Good
19-05-2014 10:10:23,0.214,7.700000,Good
19-05-2014 10:11:04,0.552,7.700000,Good
19-05-2014 10:11:55,1.078,7.600000,Good
19-05-2014 10:12:26,1.537,9.300000,Good
19-05-2014 10:13:05,2.08,11.000000,Good
19-05-2014 10:14:27,2.539,18.000000,Good
19-05-2014 10:16:32,2.818,14.900000,Good
26-05-2014 09:21:59,0.222,8.400000,Good
26-05-2014 09:22:44,0.523,8.300000,Good
26-05-2014 09:23:32,1.006,8.300000,Good
26-05-2014 09:24:18,1.507,8.200000,Good
26-05-2014 09:24:46,2.043,7.900000,Good
26-05-2014 09:25:28,2.512,6.000000,Good
26-05-2014 09:26:36,2.98,7.100000,Good
26-05-2014 09:27:07,2.718,5.600000,Good
03-06-2014 09:31:55,0.213,6.600000,Good
03-06-2014 09:32:44,0.516,6.600000,Good
03-06-2014 09:33:22,1.012,6.500000,Good
03-06-2014 09:33:56,1.511,6.700000,Good
03-06-2014 09:34:31,2.01,6.600000,Good
03-06-2014 09:35:06,2.509,6.800000,Good
03-06-2014 09:35:51,2.808,7.700000,Good
09-06-2014 10:05:47,0.222,5.700000,Good
09-06-2014 10:06:13,0.509,5.500000,Good
09-06-2014 10:07:42,1.023,4.800000,Good
09-06-2014 10:08:16,1.506,4.800000,Good
09-06-2014 10:08:47,2.014,5.300000,Good
