Date,Depth,Data,QC
14-01-2021 12:11:00,0 - 0.7,0.001600,Good
01-02-2021 11:01:00,0 - 0.9,0.001700,Good
01-03-2021 10:34:00,0 - 1.1,0.001200,Good
06-04-2021 11:37:00,0 - 1.3,0.000600,Good
01-06-2021 11:30:00,0 - 1.4,0.002800,Good
19-07-2021 11:50:00,0 - 1,0.001800,Good
02-08-2021 11:55:00,0 - 1,0.005000,Good
07-09-2021 11:25:00,0 - 1.2,0.001900,Good
23-10-2021 10:05:00,0 - 1.2,0.002100,Good
09-11-2021 11:20:00,0 - 0.6,0.001300,Good
10-12-2021 10:04:00,0 - 1,0.002300,Good
04-01-2022 10:23:00,0 - 0.6,0.001300,Good
01-02-2022 10:52:00,0 - 0.7,0.001400,Good
08-03-2022 11:00:00,0 - 1.5,0.000800,Good
02-05-2022 12:00:00,0 - 1.7,0.001200,Good
02-06-2022 12:35:00,0 - 1.6,0.000700,Good
13-07-2022 11:45:00,0 - 1.8,0.000800,Good
