Variable Name,Min Date,Max Date,Number of Samples
FLOW_var00142,01/01/2010 00:00:00,28/06/2020 00:00:00,3842.000
FLOW_var00143,01/01/2010 00:00:00,27/06/2020 00:00:00,3841.000
FLOW_var00144,01/01/2010 00:00:00,28/06/2020 00:00:00,3842.000
FLOW_var00145,01/01/2010 00:00:00,27/06/2020 00:00:00,3841.000
FLOW_var00146,01/01/2010 00:00:00,24/10/2021 00:00:00,4326.000
FLOW_var00147,01/01/2010 00:00:00,24/10/2021 00:00:00,4326.000
FLOW_var00148,01/01/2010 00:00:00,24/10/2021 00:00:00,4326.000
FLOW_var00149,01/01/2010 00:00:00,24/10/2021 00:00:00,4326.000
FLOW_var00150,01/01/2010 00:00:00,24/10/2021 00:00:00,4326.000
FLOW_var00151,01/01/2010 00:00:00,24/10/2021 00:00:00,4326.000
